facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
120.0,An Rock Foundation Hospital,Ha1Uxfwnmwq,7.0,Awka South,4.0,Awka,,,2025-10-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
120.0,An Rock Foundation Hospital,Ha1Uxfwnmwq,7.0,Awka South,4.0,Awka,,,2025-10-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
54.0,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",HgxxN5GZv8Y,4.0,Anambra West,2.0,Omambala,,,2025-10-01,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,-48.0
54.0,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",HgxxN5GZv8Y,4.0,Anambra West,2.0,Omambala,,,2025-10-07,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,-28.0
54.0,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",HgxxN5GZv8Y,4.0,Anambra West,2.0,Omambala,,,2025-10-08,0.0,68.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,114.0,-114.0
54.0,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",HgxxN5GZv8Y,4.0,Anambra West,2.0,Omambala,,,2025-10-09,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,-37.0
54.0,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",HgxxN5GZv8Y,4.0,Anambra West,2.0,Omambala,,,2025-10-10,0.0,118.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,169.0,-169.0
54.0,"An Rex Inversorium Hospital, Mmiata (Referral Health Center Oroma-Etiti)",HgxxN5GZv8Y,4.0,Anambra West,2.0,Omambala,,,2025-10-11,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,-35.0
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
85.0,An Awba Offemmili Primary Health Centre,HqwDi1gXzB7,6.0,Awka North,4.0,Awka,,,2025-10-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
