Date,Cluster,LGA,Facility,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),TOTAL TESTING REPORTED ON NEW DPT,TOTAL KITS USAGE REPORTED IN SOH TRACKER,Difference (Used - DHIS2)
2025-10-06,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0
2025-10-07,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-08,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,-75.0
2025-10-09,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,33.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,58.0,0.0,-58.0
2025-10-10,Awka,Dunukofia,An Ukpo Comprehensive Health Centre,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,-61.0
2025-10-02,Aguata,Orumba South,An Umunze Immaculate Heart Hospital,2.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,-11.0
2025-10-08,Aguata,Orumba South,An Umunze Immaculate Heart Hospital,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-09,Aguata,Orumba South,An Umunze Immaculate Heart Hospital,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,0.0,-44.0
2025-10-10,Aguata,Orumba South,An Umunze Immaculate Heart Hospital,0.0,0.0,1.0,0.0,60.0,0.0,0.0,0.0,61.0,0.0,-61.0
2025-10-11,Aguata,Orumba South,An Umunze Immaculate Heart Hospital,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,-55.0
2025-10-01,Omambala,Oyi,An Ogbunike Primary Health Centre,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-9.0
2025-10-02,Omambala,Oyi,An Ogbunike Primary Health Centre,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-7.0
2025-10-06,Omambala,Oyi,An Ogbunike Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-08,Omambala,Oyi,An Ogbunike Primary Health Centre,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0
2025-10-09,Omambala,Oyi,An Ogbunike Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-03,Aguata,Orumba South,An His Glory Maternity Umunze,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
2025-10-10,Awka,Dunukofia,An Ozzuh Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-09,Awka,Njikoka,An Beke Memorial Hospital Nimo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-07,Aguata,Orumba South,"An Trinitas International Hosp, Umuchukwu",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-01,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,-12.0
2025-10-02,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,-21.0
2025-10-03,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-10.0
2025-10-06,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-18.0
2025-10-07,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,-12.0
2025-10-08,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),26.0,1.0,3.0,0.0,21.0,0.0,0.0,0.0,51.0,0.0,-51.0
2025-10-09,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),22.0,0.0,8.0,0.0,34.0,0.0,0.0,0.0,64.0,0.0,-64.0
2025-10-10,Onitsha,Idemili North,An Immaculate Heart Hospital (Nkpor),28.0,1.0,2.0,0.0,43.0,0.0,0.0,0.0,74.0,0.0,-74.0
2025-10-10,Awka,Awka North,An Urum Primary Health Centre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-02,Nnewi,Nnewi North,An Nnamdi Azikiwe University Teaching Hospital,36.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0
2025-10-03,Nnewi,Nnewi North,An Nnamdi Azikiwe University Teaching Hospital,96.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
2025-10-07,Nnewi,Nnewi North,An Nnamdi Azikiwe University Teaching Hospital,95.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
2025-10-08,Nnewi,Nnewi North,An Nnamdi Azikiwe University Teaching Hospital,15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,-23.0
2025-10-09,Nnewi,Nnewi North,An Nnamdi Azikiwe University Teaching Hospital,17.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,-26.0
2025-10-10,Nnewi,Nnewi North,An Nnamdi Azikiwe University Teaching Hospital,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,-20.0
2025-10-03,Nnewi,Ihiala,An Okija Central Primary Health Centre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0
2025-10-10,Nnewi,Ihiala,An Okija Central Primary Health Centre,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0
2025-10-06,Aguata,Aguata,An Ekwulobia General Hospital,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,-17.0
2025-10-08,Aguata,Aguata,An Ekwulobia General Hospital,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0
2025-10-09,Aguata,Aguata,An Ekwulobia General Hospital,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-7.0
2025-10-11,Aguata,Aguata,An Ekwulobia General Hospital,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,-56.0
2025-10-01,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-9.0
2025-10-01,Onitsha,Onitsha North,An Holy Rosary Hospital,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-9.0
2025-10-02,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",18.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,-27.0
2025-10-02,Onitsha,Onitsha North,An Holy Rosary Hospital,18.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,-27.0
2025-10-03,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-03,Onitsha,Onitsha North,An Holy Rosary Hospital,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-15.0
2025-10-06,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-10.0
2025-10-06,Onitsha,Onitsha North,An Holy Rosary Hospital,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-10.0
2025-10-07,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-13.0
2025-10-07,Onitsha,Onitsha North,An Holy Rosary Hospital,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-13.0
2025-10-08,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",11.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,46.0,0.0,-46.0
2025-10-08,Onitsha,Onitsha North,An Holy Rosary Hospital,11.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,46.0,0.0,-46.0
2025-10-09,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",22.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,-35.0
2025-10-09,Onitsha,Onitsha North,An Holy Rosary Hospital,22.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,-35.0
2025-10-10,Onitsha,Onitsha North,"An Holy Rosary Specialist Hospital, Onitsha",11.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,55.0,0.0,-55.0
2025-10-10,Onitsha,Onitsha North,An Holy Rosary Hospital,11.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,55.0,0.0,-55.0
2025-10-10,Nnewi,Nnewi North,An Otolo Umuenem Primary Health Centre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2025-10-10,Omambala,Ayamelum,An Ukpambaka Primary Health Centre,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
