pe_name,ou,ou_name,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos)
2025-10-01,YzuXkd7MRFN,an Obuno Ebenebe Health Post,3,0,1,0,0,0,0,0
2025-10-01,Z58LnooMrl1,an Nnobi General Hospital,0,0,2,0,0,0,0,0
2025-10-01,ZSSbDRTZ6CX,an St. Patricks Hospital and Maternity,0,0,3,0,0,0,0,0
2025-10-01,bVDmQU3reY0,an Patricia Memorial Hospital and Maternity Aka baby,0,0,7,0,0,0,0,0
2025-10-01,cCOaMR3DYko,an Osumenyi Visitation Hospital,2,2,0,0,0,0,0,0
2025-10-01,dBES5aQviuh,"an Anambra State One Stop Shop (OSS) Site, Awka",0,0,0,0,0,0,89,3
2025-10-01,dkIkLMCU3KL,an Gozie Specialist Hospital,0,0,9,0,0,0,0,0
2025-10-01,eJfBtjef8cQ,an Basic Health Centre Onitsha,0,0,2,0,0,0,0,0
2025-10-01,gPw7wgxVzba,an St Felix Hospital and Maternity,0,1,0,0,0,0,0,0
2025-10-01,glt0a9JC4VC,an Achalla Maternal and Child Health Care Centre,6,0,0,0,0,0,0,0
2025-10-01,jq7EoZZx26g,an Osumenyi Primary Health Centre,0,1,0,0,0,0,0,0
2025-10-01,lOzN4yw4pSh,an Madueke Memorial Hospital and Maternity,4,0,0,0,0,0,0,0
2025-10-01,mKYIhwM6HUb,an Ichida II Primary Health Centre,3,0,0,0,0,0,0,0
2025-10-01,p7CKerD8kRp,an Oba Comprehensive Health Centre (Trauma Centre),20,0,0,0,0,0,0,0
2025-10-01,pxYOOPUXmtt,an Obosi St Martin's Hospital,3,0,0,0,0,0,0,0
2025-10-01,q9iZUe3cVCu,an Orafite General Hospital,0,0,0,0,20,0,0,0
2025-10-01,qtDvX43LURH,an Akwaeze Community Reproductive Referral Health Centre,2,0,0,0,0,0,0,0
2025-10-01,s4ZDSr4IBSr,an St. Marks Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-01,uYnfVI0bkyf,an Nkpor Crown Hospital and Maternity,2,0,0,0,0,0,0,0
2025-10-01,wftHmLIxJmY,an Amichi Diocesan Hospital,3,0,0,0,0,0,0,0
2025-10-01,yjxtvOYtp5A,an Ukpor General Hospital,25,0,0,0,0,0,0,0
2025-10-01,yox6XBHvvUs,an Kanayo Specialist Hospital and Maternity,0,0,1,0,0,0,0,0
2025-10-02,BkHB5iIj0jE,an Eziaguluotu Primary Health Centre,70,0,0,0,0,0,0,0
2025-10-02,FfgZ5ufqf7n,an Ebenesi Nnobi Primary Health Centre,0,0,4,0,0,0,0,0
2025-10-02,HqwDi1gXzB7,an Awba Offemmili Primary Health Centre,1,0,0,0,0,0,0,0
2025-10-02,IA64rosyhK1,an Enugu Ukwu General Hospital,2,1,0,0,0,0,0,0
2025-10-02,IEKVnEePZLN,an Iyi-Enu Hospital,2,0,6,0,0,0,0,0
2025-10-02,IX2qlVptNql,an Onitsha Pieta Hospital,0,0,1,0,12,0,0,0
2025-10-02,MUq9oPoC0hr,an Ukpo Comprehensive Health Centre,13,0,2,0,0,0,0,0
2025-10-02,MUumX5cjk9g,an Umunze Immaculate Heart Hospital,2,2,2,0,5,0,0,0
2025-10-02,MsWUEiTxyht,an Ogbunike Primary Health Centre,7,0,0,0,0,0,0,0
2025-10-02,OKPZ7SmaYwP,an Immaculate Heart Hospital (Nkpor),10,0,11,0,0,0,0,0
2025-10-02,OoBxXYn1eoy,an Nnamdi Azikiwe University Teaching Hospital,36,0,14,0,0,0,0,0
2025-10-02,P9qUQA6KmAs,an Holy Rosary Hospital,18,2,7,0,0,0,0,0
2025-10-02,QS61X8Xc1Tg,an His Grace Maternity,0,0,1,0,0,0,0,0
2025-10-02,RYgaEEnYq9o,an Ozubulu Referral Health Centre,0,0,1,0,0,0,0,0
2025-10-02,Sya1xqHhCCO,an Our Lady of Lourdes Hospital,0,0,0,0,8,0,0,0
